TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\10506\Downloads\nemo_darwin_amd64.tar,https://github.com/hanc00l/nemo_go/releases/tag/v2.9.4,147443053,2023-07-28T12:32:45.227195+08:00,2023-07-28T12:33:00.3598+08:00,application/x-tar
C:\Users\10506\Downloads\nemo_linux_amd64.tar,https://github.com/hanc00l/nemo_go/releases/tag/v2.9.4,144149864,2023-07-28T12:33:52.049901+08:00,2023-07-28T12:37:49.180756+08:00,application/x-tar
C:\Users\10506\Downloads\go1.19.10.windows-amd64.msi,https://go.dev/dl/,141795328,2023-06-23T06:48:44.819773+08:00,2023-06-23T06:49:01.465273+08:00,application/octet-stream
C:\Users\10506\Downloads\GitHubDesktopSetup-x64.exe,https://desktop.github.com/,141457696,2023-08-13T02:05:19.818255+08:00,2023-08-13T02:06:55.938746+08:00,application/x-msdownload
C:\Users\10506\Downloads\setup_1036.exe,http://www.apkeditor.cn/,81906337,2023-07-23T10:58:48.498199+08:00,2023-07-23T10:59:41.478887+08:00,application/x-msdownload
C:\Users\10506\Downloads\vulhub-master.zip,https://github.com/vulhub/vulhub,76274831,2023-06-23T04:15:34.174845+08:00,2023-06-23T04:15:44.032981+08:00,application/x-zip-compressed
C:\Users\10506\Downloads\Aliyun-.AK.Tools-V1.3.exe,https://github.com/mrknow001/aliyun-accesskey-Tools/releases/tag/v1.3,59246635,2023-07-26T13:55:41.256545+08:00,2023-07-26T13:55:51.000522+08:00,application/x-msdownload
C:\Users\10506\Downloads\ventoy-1.0.93-windows.zip,https://github.com/ventoy/Ventoy/releases,16667342,2023-06-29T12:46:20.469401+08:00,2023-06-29T12:46:24.479595+08:00,application/x-zip-compressed
C:\Users\10506\Downloads\cf_v0.5.0_windows_amd64.zip,https://github.com/teamssix/cf/releases/tag/v0.5.0,11927522,2023-07-26T15:46:35.397538+08:00,2023-07-26T15:46:42.566537+08:00,application/x-zip-compressed
C:\Users\10506\Downloads\LaZagne.exe,https://github.com/AlessandroZ/LaZagne/releases/tag/v2.4.5,11849245,2023-06-23T11:34:43.761806+08:00,2023-06-23T11:35:32.388576+08:00,application/x-msdownload
C:\Users\10506\Downloads\frp_0.51.0_darwin_amd64.tar.gz,https://github.com/fatedier/frp/releases/tag/v0.51.0,11683478,2023-07-10T14:40:13.856558+08:00,2023-07-10T14:40:24.194063+08:00,application/octet-stream
C:\Users\10506\Downloads\searchall64.exe,https://github.com/Naturehi666/searchall/releases/tag/search,7393280,2023-08-25T10:51:59.330902+08:00,2023-08-25T10:52:02.504619+08:00,application/x-msdownload
